Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
80	1516.75	689.8222	1925.0	322.0	3.5	4.974937	12.0	0.0	810.25	188.501	17.86635	191.15675	-6.6130157	324000	4.351139e-09	511.36884	-0.019341646	-311.58362	0.67236525	0.0038332597	0.046	79.0	461.43932819366455
81	1876.25	79.36427	1929.0	1739.0	1.5	2.598076	6.0	0.0	991.5	185.22794	25.3274	190.44214	-39.728138	328000	-7.1525574e-10	248.36322	-0.013560533	-83.57915	0.6613794	0.004271575	0.05275	79.0	465.33057498931885
82	1921.5	5.6789083	1929.0	1913.0	0.0	0.0	0.0	0.0	1000.0	191.06197	1.072114	191.46404	174.51382	332000	2.527237e-08	5.0594835	-0.01849683	-1.4347477	0.6603049	0.007221786	0.09025	79.0	469.1923084259033
83	1907.75	25.93622	1929.0	1864.0	4.75	8.2272415	19.0	0.0	1000.0	189.38869	10.321267	192.112	65.19861	336000	1.168251e-08	162.29456	-0.018766984	-108.15118	0.64059526	0.006933936	0.09375	79.0	473.0858142375946
84	1475.5	776.8367	1931.0	130.0	1.5	2.598076	6.0	0.0	782.0	188.82256	4.110177	190.43195	126.57393	340000	4.649162e-09	1087.3668	-0.010691403	-134.03204	0.6349164	0.004713604	0.06125	79.0	476.9567131996155
85	1924.75	9.781999	1935.0	1914.0	0.0	0.0	0.0	0.0	1000.0	185.52888	3.7510364	186.28458	101.82847	344000	-3.3378598e-09	56.090446	-0.00968924	-50.774956	0.6502094	0.0050352803	0.0515	79.0	480.86668157577515
86	1894.5	29.210443	1925.0	1855.0	7.5	7.7942286	18.0	0.0	1000.0	191.16776	4.377941	191.93709	117.63096	348000	-2.7656556e-08	57.706375	-0.018499626	-16.67786	0.64402854	0.004917488	0.064	79.0	484.8328764438629
87	1567.25	593.7038	1919.0	539.0	2.5	2.598076	6.0	0.0	834.5	189.8445	3.5705566	190.38373	91.77564	352000	4.4107438e-09	1060.2345	-0.015016543	-122.045105	0.6579981	0.001162795	0.06525	79.0	555.5327265262604
88	1525.0	678.38965	1920.0	350.0	2.75	4.7631397	11.0	0.0	812.5	183.88937	8.018445	186.06804	33.763073	356000	-1.7613173e-08	1000.894	-0.003680956	-289.7036	0.67184764	0.017846627	0.179	3.0	558.564722776413
89	1891.25	46.05635	1937.0	1815.0	8.0	13.856406	32.0	0.0	1000.0	184.1023	13.247286	187.23856	0.23156142	360000	2.259016e-08	250.12434	-0.0041402024	-176.89987	0.6722508	0.0139148235	0.201	4.0	561.5549380779266
90	1889.0	55.484234	1928.0	1794.0	10.75	18.619547	43.0	0.0	1000.0	187.26648	9.294137	190.12712	94.73947	364000	2.5987624e-08	75.86042	-0.02184802	-23.002705	0.6728848	0.0048476527	0.0495	79.0	565.3112099170685
91	1388.8	637.8581	1929.0	554.0	4.6	4.4542117	12.0	0.0	750.8	190.32059	2.3328996	192.24413	145.2948	368000	-9.8943715e-09	2216.5864	-0.013411074	-885.579	0.65307575	0.00280089	0.0635	79.0	569.0883326530457
92	1916.25	3.5619516	1921.0	1911.0	0.0	0.0	0.0	0.0	1000.0	176.47475	24.223074	185.056	-16.02865	372000	7.629394e-09	755.4421	-0.015519284	-739.28534	0.6560411	0.006281832	0.0635	79.0	572.8885669708252
93	1920.5	1.8027756	1923.0	1918.0	0.0	0.0	0.0	0.0	1000.0	190.37256	0.8452223	190.77739	183.03014	376000	-2.5033952e-08	6.51527	-0.019526986	-3.2276883	0.6247454	0.0055927127	0.06575	79.0	576.6059083938599
94	1923.0	3.6742346	1927.0	1918.0	0.0	0.0	0.0	0.0	1000.0	192.07578	0.53412896	192.19301	182.06853	380000	-1.9073486e-08	2.5336375	-0.019622296	-0.15523553	0.6013364	0.0066693574	0.061	79.0	580.3815231323242
95	1924.5	7.7942286	1935.0	1913.0	0.0	0.0	0.0	0.0	1000.0	192.09747	0.7362335	192.32263	182.07204	384000	0.0	4.101752	-0.01767831	-0.27811313	0.5825916	0.0056167683	0.05575	79.0	584.4232909679413
96	1916.75	21.087614	1942.0	1886.0	2.0	3.4641016	8.0	0.0	1000.0	192.15662	1.1548223	192.46513	172.8448	388000	4.5299533e-09	10.255815	-0.020703413	-0.81318855	0.5648875	0.005727579	0.077	79.0	588.1771442890167
97	1925.75	6.456586	1932.0	1915.0	0.0	0.0	0.0	0.0	1000.0	191.80795	1.0409852	192.18425	180.26802	392000	1.2159347e-08	5.1841183	-0.023907399	-1.5741904	0.55287313	0.0054071187	0.08225	79.0	591.9573833942413
98	1920.75	10.779031	1937.0	1908.0	0.75	1.299038	3.0	0.0	1000.0	192.6182	0.56052005	192.75783	184.08588	396000	3.2901763e-08	4.8074913	-0.021945715	-0.41861057	0.527957	0.005780325	0.0645	79.0	595.9937608242035
99	1607.25	547.09296	1936.0	660.0	7.75	7.9490566	18.0	0.0	854.5	189.45184	23.231146	192.17139	-50.67451	400000	-6.4671037e-09	560.90027	-0.018751992	-308.94897	0.51896477	0.0035899933	0.0755	79.0	666.7345292568207
100	1923.75	8.466847	1937.0	1915.0	0.75	1.299038	3.0	0.0	1000.0	187.58096	11.047188	191.7199	30.708776	404000	-2.0384789e-08	139.6586	-0.019538173	-134.25826	0.50006247	0.009997286	0.07375	79.0	670.5026762485504
101	1930.0	6.595453	1941.0	1924.0	0.5	0.8660254	2.0	0.0	1000.0	192.36519	0.99943775	192.78802	178.88474	408000	3.260374e-08	4.110073	-0.021934528	-0.583935	0.483977	0.0028346092	0.05075	79.0	674.2438027858734
102	1906.25	32.166557	1929.0	1851.0	6.0	10.392304	24.0	0.0	1000.0	192.57831	2.0055282	193.2333	164.90933	412000	-5.722046e-09	43.03597	-0.0034135699	-11.904457	0.47065014	0.012105427	0.145	3.0	677.2511570453644
103	1924.0	17.421251	1936.0	1894.0	3.25	5.629165	13.0	0.0	1000.0	190.94493	2.4267442	191.87582	160.63383	416000	-1.0967255e-08	17.812778	-0.025894888	-4.226942	0.4707685	0.0064918087	0.0975	79.0	681.0381445884705
104	1926.25	3.49106	1931.0	1922.0	1.5	2.598076	6.0	0.0	1000.0	192.2989	1.2373052	193.06856	178.18825	420000	-1.2874603e-08	5.5325575	-0.021717919	-0.56811476	0.44509688	0.0044550905	0.08275	79.0	684.8680884838104
