Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
79	1464.5	764.1513	1912.0	141.0	781.25	185.76906	20.267397	189.83444	41.448387	320000	1.9073485e-09	341.9779	-0.026041703	-82.14249	0.7390562	0.010091272	0.0725	79.0	303.9019384384155
80	1921.25	7.3271756	1932.0	1912.0	1000.0	179.9171	29.029701	187.06584	31.494293	324000	-1.2516976e-08	393.10342	-0.018157532	-364.79407	0.7335299	0.012455731	0.114	66.0	307.94400572776794
81	1405.6	708.3803	1920.0	116.0	755.8	190.06256	5.4833336	191.26564	137.96602	328000	3.814697e-09	2063.5366	-0.020407619	-244.29187	0.69641113	0.0060263854	0.09	79.0	312.2500948905945
82	1813.5	183.91505	1925.0	1495.0	960.0	179.34137	5.692018	180.59235	98.519936	332000	-2.1457673e-08	1018.8136	-0.009803793	-52.834106	0.71133703	0.012567595	0.211	7.0	315.37895369529724
83	1809.25	178.12549	1924.0	1501.0	960.75	183.31398	2.2303228	183.82082	125.58013	336000	5.00679e-09	973.04663	-0.018803183	-601.72534	0.71253765	0.006796705	0.08975	79.0	319.58576488494873
84	1408.4	510.12964	1912.0	524.0	769.0	185.90762	11.546302	187.3197	37.22481	340000	9.536743e-09	2591.2131	-0.02361918	-651.5382	0.7453877	0.0048606526	0.11225	79.0	323.73136162757874
85	1652.0	356.00772	1923.0	1052.0	886.75	169.42523	23.745268	174.71848	-2.6402361	344000	-7.1525577e-09	1002.4316	-0.025661513	-382.40833	0.7464669	0.0053629936	0.0915	79.0	327.90708804130554
86	1242.6	821.91187	1918.0	166.0	671.8	173.98332	37.983475	184.44542	-26.592628	348000	1.0371208e-08	544.05133	-0.023918916	-157.08768	0.76665664	0.0074470444	0.089	79.0	332.1095597743988
87	1423.0	538.2611	1918.0	618.0	773.0	177.45464	39.678448	189.48773	-32.34026	352000	7.390976e-09	675.5553	-0.004413158	-247.9537	0.75820124	0.015338487	0.20775	5.0	337.42752861976624
88	1497.5	709.2815	1912.0	269.0	799.0	185.49774	7.270229	187.50977	104.42122	356000	1.180172e-08	1044.3193	-0.015263904	-113.9671	0.757722	0.009993371	0.09125	79.0	341.6746926307678
89	1781.5	224.92722	1919.0	1392.0	946.0	182.21684	17.035639	187.29759	32.750343	360000	7.390976e-09	471.09662	-0.01878243	-91.80545	0.76914155	0.0030897616	0.08225	79.0	345.95737409591675
